transmit_tx,transmit_block,sprayed_in_block,sprayed_in_block_count,exec_b0_count,exec_b1_count,exec_b2_count,has_gatepass_within_2blocks,gatepass_block,gatepass_tx,gatepass_fee_eth,total_exec_b0_b2
0xcae404318abb24483e33b1c0a92f522db2b04459968a0cc71e6c77b812768889,38825013,0,0,0,1,0,1,38825014,0x45b0f67ec5f0e364a7d5120dd1b5ab3a419ba1ea684668aa8efd5aecf91f395f,0.000001289139732167,1
0x9fe79e96b4d50a13cc4c0ae103100b84b1aed04df2daa70410e1fe4ac4bb8314,38825058,1,1,1,0,0,0,,,,1
0xdde5b7f090fcf03459fcafd35f7c7e5755ca41e390f64a0df699cc2e2c66ff8c,38825088,1,1,1,0,1,1,38825090,0x7a12cdf2e2ba387b04f0ac718474db8b3a9a19c5359d586d915b69792f3fe618,0.000001293119754861,2
0x394bc50ae9da696efc590369dee6904009ab495b8ee956d6cd07222ace440374,38825133,0,0,0,0,1,0,,,,1
0x0eb981c222cc0b91523e8e7b9db3c1c5612a696577810a9fbde340849c89a7b5,38825328,1,1,1,0,1,1,38825330,0xc2335e26c4c3637ff9895d1c8cddda3e9c08a83baa539e1662bad586c4a73f3e,0.000001281264993252,2
0xd791734fe1be0f904578c93900a16ccd6b2aa4fcaf597134aa140c0f98508075,38825374,0,0,0,1,0,0,,,,1
0x3d85915a78d5fcfbba80edf24eb69c81711b112d860c322224948c6200f68e1e,38825403,1,1,1,0,1,0,,,,2
0xc515242a73ef6a2363c56f5aa8377888e5fc4785019c5805415fa90891d8f641,38825448,1,1,1,0,0,0,,,,1
0xd08248533b0df09db6c99eae4b77291cd3958aabeac85ec31f85a04e88b55e98,38825509,0,0,0,1,0,1,38825510,0xff28d1ebd9096c78e86e8834f467b8a1e23c32521e2642536240dbc10d193a2e,0.000001291121611081,1
0x94861a9d46665706caac600816bcb14329cfff5583d3f8142ebfa2c3a48a8d38,38825539,0,0,0,1,0,0,,,,1
0xf23b1089a013f85fb8201d8113396beec9447f300ba113ccbb9d15ba0342b56b,38825779,0,0,0,1,0,1,38825780,0xda0b95548e2926ca33e1279464fb51c35d2757712d3be176c6413666ef4086c8,0.000001499485705826,1
0x66c81f027c4a3f9875046ec2cea316119a9f7d5d21c37cca277dd707fbbaf5a5,38825944,0,0,0,0,1,0,,,,1
0x901a74669e85fd197312eae1a530ade21bc9339f497be247da508457787b0fa6,38826034,0,0,0,1,0,0,,,,1
0x6fc4f9b8a78bd55172e47c5d5c4cfd90eb62bc3b707027c3144184cc7d931ec3,38826274,0,0,0,1,0,0,,,,1
0xac7cf0c4d13a77bddcfe959f313682c8a761b28a492abfc7be45c623a09acad4,38826875,1,1,1,0,1,0,,,,2
0x145026ffffcd460d3c722e0e9d5c0006ff8d2b9233e882b2b4ecf3ac74732324,38826920,1,1,1,0,1,0,,,,2
